,DATE,Year,Month,Day,MonetaryBase
257,1959-12-28,1959,12,28,50807.608695652176
258,1959-12-29,1959,12,29,50770.95652173913
259,1959-12-30,1959,12,30,50734.30434782609
260,1959-12-31,1959,12,31,50697.65217391304
261,1960-01-01,1960,1,1,50661.0
262,1960-01-04,1960,1,4,50610.90476190476
263,1960-01-05,1960,1,5,50560.80952380953
264,1960-01-06,1960,1,6,50510.71428571428
265,1960-01-07,1960,1,7,50460.619047619046
266,1960-01-08,1960,1,8,50410.52380952381
267,1960-01-11,1960,1,11,50360.42857142857
268,1960-01-12,1960,1,12,50310.333333333336
269,1960-01-13,1960,1,13,50260.23809523809
270,1960-01-14,1960,1,14,50210.142857142855
271,1960-01-15,1960,1,15,50160.04761904762
272,1960-01-18,1960,1,18,50109.95238095238
273,1960-01-19,1960,1,19,50059.857142857145
274,1960-01-20,1960,1,20,50009.76190476191
275,1960-01-21,1960,1,21,49959.666666666664
276,1960-01-22,1960,1,22,49909.57142857143
277,1960-01-25,1960,1,25,49859.47619047619
278,1960-01-26,1960,1,26,49809.380952380954
279,1960-01-27,1960,1,27,49759.28571428572
280,1960-01-28,1960,1,28,49709.19047619047
281,1960-01-29,1960,1,29,49659.09523809524
282,1960-02-01,1960,2,1,49609.0
283,1960-02-02,1960,2,2,49602.95238095238
284,1960-02-03,1960,2,3,49596.90476190476
285,1960-02-04,1960,2,4,49590.857142857145
286,1960-02-05,1960,2,5,49584.80952380953
287,1960-02-08,1960,2,8,49578.76190476191
288,1960-02-09,1960,2,9,49572.71428571428
289,1960-02-10,1960,2,10,49566.666666666664
290,1960-02-11,1960,2,11,49560.619047619046
291,1960-02-12,1960,2,12,49554.57142857143
292,1960-02-15,1960,2,15,49548.52380952381
293,1960-02-16,1960,2,16,49542.47619047619
294,1960-02-17,1960,2,17,49536.42857142857
295,1960-02-18,1960,2,18,49530.380952380954
296,1960-02-19,1960,2,19,49524.333333333336
297,1960-02-22,1960,2,22,49518.28571428572
298,1960-02-23,1960,2,23,49512.23809523809
299,1960-02-24,1960,2,24,49506.19047619047
300,1960-02-25,1960,2,25,49500.142857142855
301,1960-02-26,1960,2,26,49494.09523809524
302,1960-02-29,1960,2,29,49488.04761904762
303,1960-03-01,1960,3,1,49482.0
304,1960-03-02,1960,3,2,49489.565217391304
305,1960-03-03,1960,3,3,49497.13043478261
306,1960-03-04,1960,3,4,49504.69565217391
307,1960-03-07,1960,3,7,49512.260869565216
308,1960-03-08,1960,3,8,49519.82608695652
309,1960-03-09,1960,3,9,49527.391304347824
310,1960-03-10,1960,3,10,49534.95652173913
311,1960-03-11,1960,3,11,49542.52173913043
312,1960-03-14,1960,3,14,49550.086956521736
313,1960-03-15,1960,3,15,49557.65217391304
314,1960-03-16,1960,3,16,49565.217391304344
315,1960-03-17,1960,3,17,49572.782608695656
316,1960-03-18,1960,3,18,49580.34782608696
317,1960-03-21,1960,3,21,49587.913043478264
318,1960-03-22,1960,3,22,49595.47826086957
319,1960-03-23,1960,3,23,49603.04347826087
320,1960-03-24,1960,3,24,49610.608695652176
321,1960-03-25,1960,3,25,49618.17391304348
322,1960-03-28,1960,3,28,49625.739130434784
323,1960-03-29,1960,3,29,49633.30434782609
324,1960-03-30,1960,3,30,49640.86956521739
325,1960-03-31,1960,3,31,49648.434782608696
326,1960-04-01,1960,4,1,49656.0
327,1960-04-04,1960,4,4,49659.71428571428
328,1960-04-05,1960,4,5,49663.42857142857
329,1960-04-06,1960,4,6,49667.142857142855
330,1960-04-07,1960,4,7,49670.857142857145
331,1960-04-08,1960,4,8,49674.57142857143
332,1960-04-11,1960,4,11,49678.28571428572
333,1960-04-12,1960,4,12,49682.0
334,1960-04-13,1960,4,13,49685.71428571428
335,1960-04-14,1960,4,14,49689.42857142857
336,1960-04-15,1960,4,15,49693.142857142855
337,1960-04-18,1960,4,18,49696.857142857145
338,1960-04-19,1960,4,19,49700.57142857143
339,1960-04-20,1960,4,20,49704.28571428572
340,1960-04-21,1960,4,21,49708.0
341,1960-04-22,1960,4,22,49711.71428571428
342,1960-04-25,1960,4,25,49715.42857142857
343,1960-04-26,1960,4,26,49719.142857142855
344,1960-04-27,1960,4,27,49722.857142857145
345,1960-04-28,1960,4,28,49726.57142857143
346,1960-04-29,1960,4,29,49730.28571428572
347,1960-05-02,1960,5,2,49734.0
348,1960-05-03,1960,5,3,49746.77272727273
349,1960-05-04,1960,5,4,49759.545454545456
350,1960-05-05,1960,5,5,49772.318181818184
351,1960-05-06,1960,5,6,49785.09090909091
352,1960-05-09,1960,5,9,49797.86363636364
353,1960-05-10,1960,5,10,49810.63636363636
354,1960-05-11,1960,5,11,49823.40909090909
355,1960-05-12,1960,5,12,49836.181818181816
356,1960-05-13,1960,5,13,49848.954545454544
357,1960-05-16,1960,5,16,49861.72727272727
358,1960-05-17,1960,5,17,49874.5
359,1960-05-18,1960,5,18,49887.27272727273
360,1960-05-19,1960,5,19,49900.045454545456
361,1960-05-20,1960,5,20,49912.818181818184
362,1960-05-23,1960,5,23,49925.59090909091
363,1960-05-24,1960,5,24,49938.36363636364
364,1960-05-25,1960,5,25,49951.13636363636
365,1960-05-26,1960,5,26,49963.90909090909
366,1960-05-27,1960,5,27,49976.681818181816
367,1960-05-30,1960,5,30,49989.454545454544
368,1960-05-31,1960,5,31,50002.22727272727
369,1960-06-01,1960,6,1,50015.0
370,1960-06-02,1960,6,2,50035.0
371,1960-06-03,1960,6,3,50055.0
372,1960-06-06,1960,6,6,50075.0
373,1960-06-07,1960,6,7,50095.0
374,1960-06-08,1960,6,8,50115.0
375,1960-06-09,1960,6,9,50135.0
376,1960-06-10,1960,6,10,50155.0
377,1960-06-13,1960,6,13,50175.0
378,1960-06-14,1960,6,14,50195.0
379,1960-06-15,1960,6,15,50215.0
380,1960-06-16,1960,6,16,50235.0
381,1960-06-17,1960,6,17,50255.0
382,1960-06-20,1960,6,20,50275.0
383,1960-06-21,1960,6,21,50295.0
384,1960-06-22,1960,6,22,50315.0
385,1960-06-23,1960,6,23,50335.0
386,1960-06-24,1960,6,24,50355.0
387,1960-06-27,1960,6,27,50375.0
388,1960-06-28,1960,6,28,50395.0
389,1960-06-29,1960,6,29,50415.0
390,1960-06-30,1960,6,30,50435.0
391,1960-07-01,1960,7,1,50455.0
392,1960-07-04,1960,7,4,50446.619047619046
393,1960-07-05,1960,7,5,50438.23809523809
394,1960-07-06,1960,7,6,50429.857142857145
395,1960-07-07,1960,7,7,50421.47619047619
396,1960-07-08,1960,7,8,50413.09523809524
397,1960-07-11,1960,7,11,50404.71428571428
398,1960-07-12,1960,7,12,50396.333333333336
399,1960-07-13,1960,7,13,50387.95238095238
400,1960-07-14,1960,7,14,50379.57142857143
401,1960-07-15,1960,7,15,50371.19047619047
402,1960-07-18,1960,7,18,50362.80952380953
403,1960-07-19,1960,7,19,50354.42857142857
404,1960-07-20,1960,7,20,50346.04761904762
405,1960-07-21,1960,7,21,50337.666666666664
406,1960-07-22,1960,7,22,50329.28571428572
407,1960-07-25,1960,7,25,50320.90476190476
408,1960-07-26,1960,7,26,50312.52380952381
409,1960-07-27,1960,7,27,50304.142857142855
410,1960-07-28,1960,7,28,50295.76190476191
411,1960-07-29,1960,7,29,50287.380952380954
412,1960-08-01,1960,8,1,50279.0
413,1960-08-02,1960,8,2,50263.391304347824
414,1960-08-03,1960,8,3,50247.782608695656
415,1960-08-04,1960,8,4,50232.17391304348
416,1960-08-05,1960,8,5,50216.565217391304
417,1960-08-08,1960,8,8,50200.95652173913
418,1960-08-09,1960,8,9,50185.34782608696
419,1960-08-10,1960,8,10,50169.739130434784
420,1960-08-11,1960,8,11,50154.13043478261
421,1960-08-12,1960,8,12,50138.52173913043
422,1960-08-15,1960,8,15,50122.913043478264
423,1960-08-16,1960,8,16,50107.30434782609
424,1960-08-17,1960,8,17,50091.69565217391
425,1960-08-18,1960,8,18,50076.086956521736
426,1960-08-19,1960,8,19,50060.47826086957
427,1960-08-22,1960,8,22,50044.86956521739
428,1960-08-23,1960,8,23,50029.260869565216
429,1960-08-24,1960,8,24,50013.65217391304
430,1960-08-25,1960,8,25,49998.04347826087
431,1960-08-26,1960,8,26,49982.434782608696
432,1960-08-29,1960,8,29,49966.82608695652
433,1960-08-30,1960,8,30,49951.217391304344
434,1960-08-31,1960,8,31,49935.608695652176
435,1960-09-01,1960,9,1,49920.0
436,1960-09-02,1960,9,2,49929.545454545456
437,1960-09-05,1960,9,5,49939.09090909091
438,1960-09-06,1960,9,6,49948.63636363636
439,1960-09-07,1960,9,7,49958.181818181816
440,1960-09-08,1960,9,8,49967.72727272727
441,1960-09-09,1960,9,9,49977.27272727273
442,1960-09-12,1960,9,12,49986.818181818184
443,1960-09-13,1960,9,13,49996.36363636364
444,1960-09-14,1960,9,14,50005.90909090909
445,1960-09-15,1960,9,15,50015.454545454544
446,1960-09-16,1960,9,16,50025.0
447,1960-09-19,1960,9,19,50034.545454545456
448,1960-09-20,1960,9,20,50044.09090909091
449,1960-09-21,1960,9,21,50053.63636363636
450,1960-09-22,1960,9,22,50063.181818181816
451,1960-09-23,1960,9,23,50072.72727272727
452,1960-09-26,1960,9,26,50082.27272727273
453,1960-09-27,1960,9,27,50091.818181818184
454,1960-09-28,1960,9,28,50101.36363636364
455,1960-09-29,1960,9,29,50110.90909090909
456,1960-09-30,1960,9,30,50120.454545454544
457,1960-10-03,1960,10,3,50130.0
458,1960-10-04,1960,10,4,50135.76190476191
459,1960-10-05,1960,10,5,50141.52380952381
460,1960-10-06,1960,10,6,50147.28571428572
461,1960-10-07,1960,10,7,50153.04761904762
462,1960-10-10,1960,10,10,50158.80952380953
463,1960-10-11,1960,10,11,50164.57142857143
464,1960-10-12,1960,10,12,50170.333333333336
465,1960-10-13,1960,10,13,50176.09523809524
466,1960-10-14,1960,10,14,50181.857142857145
467,1960-10-17,1960,10,17,50187.619047619046
468,1960-10-18,1960,10,18,50193.380952380954
469,1960-10-19,1960,10,19,50199.142857142855
470,1960-10-20,1960,10,20,50204.90476190476
471,1960-10-21,1960,10,21,50210.666666666664
472,1960-10-24,1960,10,24,50216.42857142857
473,1960-10-25,1960,10,25,50222.19047619047
474,1960-10-26,1960,10,26,50227.95238095238
475,1960-10-27,1960,10,27,50233.71428571428
476,1960-10-28,1960,10,28,50239.47619047619
477,1960-10-31,1960,10,31,50245.23809523809
478,1960-11-01,1960,11,1,50251.0
479,1960-11-02,1960,11,2,50228.818181818184
480,1960-11-03,1960,11,3,50206.63636363636
481,1960-11-04,1960,11,4,50184.454545454544
482,1960-11-07,1960,11,7,50162.27272727273
483,1960-11-08,1960,11,8,50140.09090909091
484,1960-11-09,1960,11,9,50117.90909090909
485,1960-11-10,1960,11,10,50095.72727272727
486,1960-11-11,1960,11,11,50073.545454545456
487,1960-11-14,1960,11,14,50051.36363636364
488,1960-11-15,1960,11,15,50029.181818181816
489,1960-11-16,1960,11,16,50007.0
490,1960-11-17,1960,11,17,49984.818181818184
491,1960-11-18,1960,11,18,49962.63636363636
492,1960-11-21,1960,11,21,49940.454545454544
493,1960-11-22,1960,11,22,49918.27272727273
494,1960-11-23,1960,11,23,49896.09090909091
495,1960-11-24,1960,11,24,49873.90909090909
496,1960-11-25,1960,11,25,49851.72727272727
497,1960-11-28,1960,11,28,49829.545454545456
498,1960-11-29,1960,11,29,49807.36363636364
499,1960-11-30,1960,11,30,49785.181818181816
500,1960-12-01,1960,12,1,49763.0
501,1960-12-02,1960,12,2,49733.0
502,1960-12-05,1960,12,5,49703.0
503,1960-12-06,1960,12,6,49673.0
504,1960-12-07,1960,12,7,49643.0
505,1960-12-08,1960,12,8,49613.0
506,1960-12-09,1960,12,9,49583.0
507,1960-12-12,1960,12,12,49553.0
508,1960-12-13,1960,12,13,49523.0
509,1960-12-14,1960,12,14,49493.0
510,1960-12-15,1960,12,15,49463.0
511,1960-12-16,1960,12,16,49433.0
512,1960-12-19,1960,12,19,49403.0
513,1960-12-20,1960,12,20,49373.0
514,1960-12-21,1960,12,21,49343.0
515,1960-12-22,1960,12,22,49313.0
516,1960-12-23,1960,12,23,49283.0
517,1960-12-26,1960,12,26,49253.0
518,1960-12-27,1960,12,27,49223.0
519,1960-12-28,1960,12,28,49193.0
520,1960-12-29,1960,12,29,49163.0
521,1960-12-30,1960,12,30,49133.0
