,DATE,Year,Month,Day,Income
362,1960-05-23,1960,5,23,422.77272727272725
363,1960-05-24,1960,5,24,422.79090909090905
364,1960-05-25,1960,5,25,422.8090909090909
365,1960-05-26,1960,5,26,422.8272727272727
366,1960-05-27,1960,5,27,422.8454545454545
367,1960-05-30,1960,5,30,422.8636363636363
368,1960-05-31,1960,5,31,422.8818181818182
369,1960-06-01,1960,6,1,422.9
370,1960-06-02,1960,6,2,422.95454545454544
371,1960-06-03,1960,6,3,423.0090909090909
372,1960-06-06,1960,6,6,423.06363636363636
373,1960-06-07,1960,6,7,423.1181818181818
374,1960-06-08,1960,6,8,423.1727272727273
375,1960-06-09,1960,6,9,423.2272727272727
376,1960-06-10,1960,6,10,423.28181818181815
377,1960-06-13,1960,6,13,423.3363636363636
378,1960-06-14,1960,6,14,423.3909090909091
379,1960-06-15,1960,6,15,423.44545454545454
380,1960-06-16,1960,6,16,423.5
381,1960-06-17,1960,6,17,423.55454545454546
382,1960-06-20,1960,6,20,423.6090909090909
383,1960-06-21,1960,6,21,423.6636363636364
384,1960-06-22,1960,6,22,423.71818181818185
385,1960-06-23,1960,6,23,423.7727272727273
386,1960-06-24,1960,6,24,423.8272727272727
387,1960-06-27,1960,6,27,423.8818181818182
388,1960-06-28,1960,6,28,423.93636363636364
389,1960-06-29,1960,6,29,423.9909090909091
390,1960-06-30,1960,6,30,424.04545454545456
391,1960-07-01,1960,7,1,424.1
392,1960-07-04,1960,7,4,424.12380952380954
393,1960-07-05,1960,7,5,424.14761904761906
394,1960-07-06,1960,7,6,424.1714285714286
395,1960-07-07,1960,7,7,424.1952380952381
396,1960-07-08,1960,7,8,424.2190476190476
397,1960-07-11,1960,7,11,424.2428571428572
398,1960-07-12,1960,7,12,424.2666666666667
399,1960-07-13,1960,7,13,424.2904761904762
400,1960-07-14,1960,7,14,424.31428571428575
401,1960-07-15,1960,7,15,424.33809523809526
402,1960-07-18,1960,7,18,424.3619047619048
403,1960-07-19,1960,7,19,424.3857142857143
404,1960-07-20,1960,7,20,424.4095238095238
405,1960-07-21,1960,7,21,424.43333333333334
406,1960-07-22,1960,7,22,424.45714285714286
407,1960-07-25,1960,7,25,424.48095238095243
408,1960-07-26,1960,7,26,424.50476190476195
409,1960-07-27,1960,7,27,424.52857142857147
410,1960-07-28,1960,7,28,424.552380952381
411,1960-07-29,1960,7,29,424.5761904761905
412,1960-08-01,1960,8,1,424.6
413,1960-08-02,1960,8,2,424.63913043478266
414,1960-08-03,1960,8,3,424.67826086956524
415,1960-08-04,1960,8,4,424.71739130434787
416,1960-08-05,1960,8,5,424.75652173913045
417,1960-08-08,1960,8,8,424.7956521739131
418,1960-08-09,1960,8,9,424.83478260869566
419,1960-08-10,1960,8,10,424.8739130434783
420,1960-08-11,1960,8,11,424.9130434782609
421,1960-08-12,1960,8,12,424.9521739130435
422,1960-08-15,1960,8,15,424.9913043478261
423,1960-08-16,1960,8,16,425.0304347826087
