Reporter_code,Reporter_description,Partner_code,Partner_description,Indicator_code,Indicator_description,Flow_Code,Flow_Description,Year,Unit,Value,Flag,Source_Description,Note
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,1993,Unit value index - Prev. year = 100,99.3,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,1993,Unit value index - Prev. year = 100,100.4,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,1993,Volume index - Previous year = 100,103.293,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,1993,Volume index - Previous year = 100,109.707,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,1993,Value index - Previous year = 100,108.939,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,1993,Value index - Previous year = 100,103.706,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,1994,Value index - Previous year = 100,110.296,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,1994,Value index - Previous year = 100,114.215,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,1994,Volume index - Previous year = 100,108.027,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,1994,Volume index - Previous year = 100,112.306,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,1994,Unit value index - Prev. year = 100,102.1,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,1994,Unit value index - Prev. year = 100,101.7,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,1995,Unit value index - Prev. year = 100,104.5,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,1995,Unit value index - Prev. year = 100,105,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,1995,Volume index - Previous year = 100,107.029,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,1995,Volume index - Previous year = 100,108.636,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,1995,Value index - Previous year = 100,111.845,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,1995,Value index - Previous year = 100,114.068,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,1996,Value index - Previous year = 100,106.897,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,1996,Value index - Previous year = 100,106.638,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,1996,Volume index - Previous year = 100,106.259,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,1996,Volume index - Previous year = 100,105.582,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,1996,Unit value index - Prev. year = 100,100.6,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,1996,Unit value index - Prev. year = 100,101,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,1997,Unit value index - Prev. year = 100,97.5,   ,WTO, 
