,index,CPI,CPI2,ConstructionSpending,ConstructionSpending2,CrudeOil,CrudeOil2,DATE,Day,Employment,Employment2,Export_Unit_Value,Export_Unit_Value2,Export_Value,Export_Value2,Export_Volume,Export_Volume2,FedFundRate,FedFundRate2,GDP,GDP2,HomePrice,HomePrice2,Import_Unit_Value,Import_Unit_Value2,Import_Value,Import_Value2,Import_Volume,Import_Volume2,Income,Income2,Loans,Loans2,MonetaryBase,MonetaryBase2,Month,SnP,SnP2,USDollar,USDollar2,Year,pct_SnP,pct_GDP,pct_MonetaryBase,pct_CPI,pct_HomePrice,pct_Loans,pct_Employment,pct_Income,pct_ConstructionSpending,pct_FedFundRate,pct_USDollar,pct_CrudeOil,pct_Import_Unit_Value,pct_Import_Volume,pct_Import_Value,pct_Export_Unit_Value,pct_Export_Volume,pct_Export_Value,long_short
10,2682,199.1,201.9,1160818.0,1123281.0,65.36,60.96,2005-10-03,3.0,135617.0,137849.0,107.0382470119522,105.5344,114.42348605577689,111.398524,106.9170358565737,105.556036,3.87,5.33,13381.628999999999,14066.37,360.59,376.92,107.0382470119522,105.5344,114.42348605577689,111.398524,106.9170358565737,105.556036,10826.0,11527.9,788718.0,910256.0,787216.0,809839.0,10.0,1228.810059,1335.819946,111.4002,107.9746,2005.0,1.0870841561039013,1.051170227481273,1.0287379829678258,1.014063284781517,1.0452868909287558,1.154095633673886,1.016458113658317,1.0648346573064844,0.9676633201759449,1.3772609819121446,0.9692496063741357,0.9326805385556916,0.985950377048082,0.9872705051569196,0.973563451350343,0.985950377048082,0.9872705051569196,0.973563451350343,1
11,2931,201.9,209.19,1123281.0,1153031.0,60.96,80.31,2006-10-02,2.0,137849.0,139198.0,105.5344,104.37290836653386,111.398524,106.65972509960159,105.556036,102.1852390438247,5.33,4.92,14066.37,14685.33,376.92,372.65,105.5344,104.37290836653386,111.398524,106.65972509960159,105.556036,102.1852390438247,11527.9,12121.5,910256.0,1133272.0,809839.0,829039.0,10.0,1335.819946,1527.290039,107.9746,100.5314,2006.0,1.143335255303936,1.0440028237562355,1.0237084161172776,1.0361069836552748,0.9886713360925394,1.2450036033819059,1.0097860702652903,1.051492466103974,1.0264849133921077,0.923076923076923,0.9310652690540183,1.3174212598425197,0.9889941892551989,0.968066279448242,0.9574608466051273,0.9889941892551989,0.968066279448242,0.9574608466051273,1
12,3179,209.19,216.995,1153031.0,1056692.0,80.31,98.23,2007-10-01,1.0,139198.0,137442.0,104.37290836653386,109.70396825396826,106.65972509960159,106.8761111111111,102.1852390438247,97.48126190476191,4.92,1.15,14685.33,14549.948999999999,372.65,346.15,104.37290836653386,109.70396825396826,106.65972509960159,106.8761111111111,102.1852390438247,97.48126190476191,12121.5,12482.9,1133272.0,1186704.0,829039.0,1136412.0,10.0,1527.290039,1164.170044,100.5314,101.5044,2007.0,0.7622455553774485,0.9907812081853113,1.3707581911104303,1.0373105788995651,0.9288876962297061,1.0471484339152473,0.9873848762194859,1.0298147918986924,0.9164471727126157,0.233739837398374,1.0096785680891742,1.2231353505167477,1.0510770464373085,0.9539661776683287,1.0020287508833108,1.0510770464373085,0.9539661776683287,1.0020287508833108,0
13,3430,216.995,216.50900000000001,1056692.0,866972.0,98.23,70.67,2008-10-01,1.0,137442.0,131188.0,109.70396825396826,94.1812749003984,106.8761111111111,82.24049402390438,97.48126190476191,86.74481673306772,1.15,0.11,14549.948999999999,14566.511,346.15,328.05,109.70396825396826,94.1812749003984,106.8761111111111,82.24049402390438,97.48126190476191,86.74481673306772,12482.9,12081.1,1186704.0,957287.0,1136412.0,1936314.0,10.0,1164.170044,1054.910034,101.5044,102.3871,2008.0,0.9061477225229135,1.0011382857768094,1.7038838027053569,0.9977603170579967,0.9477105301170013,0.8066771494829377,0.9544971697152254,0.9678119667705422,0.8204585631385494,0.09565217391304359,1.0086961747471046,0.7194339814720554,0.8585038116612673,0.889861446580538,0.7694936985347931,0.8585038116612673,0.889861446580538,0.7694936985347931,0
14,3680,216.50900000000001,219.035,866972.0,798831.0,70.67,81.57,2009-10-01,1.0,131188.0,131641.0,94.1812749003984,102.41040000000001,82.24049402390438,110.79154399999999,86.74481673306772,107.151596,0.11,0.2,14566.511,15230.208,328.05,321.91,94.1812749003984,102.41040000000001,82.24049402390438,110.79154399999999,86.74481673306772,107.151596,12081.1,12636.5,957287.0,905268.0,1936314.0,1961720.0,10.0,1054.910034,1143.48999,102.3871,99.4269,2009.0,1.083969204145422,1.0455632100233199,1.0131208058197172,1.0116669514893144,0.9812833409541228,0.9456599744904088,1.003453059731073,1.0459726349421823,0.9214034593966126,1.8181818181818183,0.9710881546601086,1.154238007641149,1.0873753844201444,1.2352507047162056,1.3471653510227801,1.0873753844201444,1.2352507047162056,1.3471653510227801,1
15,3930,219.035,226.75,798831.0,802658.0,81.57,77.34,2010-10-01,1.0,131641.0,133558.0,102.41040000000001,109.92788844621515,110.79154399999999,116.91955378486055,107.151596,106.43390438247012,0.2,0.08,15230.208,15785.312,321.91,311.31,102.41040000000001,109.92788844621515,110.79154399999999,116.91955378486055,107.151596,106.43390438247012,12636.5,13359.6,905268.0,1038289.0,1961720.0,2637757.0,10.0,1143.48999,1131.209961,99.4269,100.7613,2010.0,0.9892609212958655,1.0364475652597784,1.3446144199987766,1.0352226813066405,0.9670715417352675,1.1469410163620055,1.0145623324040383,1.057223123491473,1.004790750484145,0.4,1.013420915265386,0.9481426995218831,1.073405517859662,0.9933020912023571,1.0553111687373955,1.073405517859662,0.9933020912023571,1.0553111687373955,0
16,4180,226.75,231.638,802658.0,870362.0,77.34,92.44,2011-10-03,3.0,133558.0,135649.0,109.92788844621515,102.91832669322709,116.91955378486055,106.06600398406374,106.43390438247012,103.04037848605577,0.08,0.15,15785.312,16297.348999999998,311.31,313.26,109.92788844621515,102.91832669322709,116.91955378486055,106.06600398406374,106.43390438247012,103.04037848605577,13359.6,14076.0,1038289.0,1188167.0,2637757.0,2611775.0,10.0,1131.209961,1440.900024,100.7613,98.8473,2011.0,1.273768861375859,1.032437559675729,0.9901499645342615,1.0215567805953694,1.0062638527512768,1.144350946605425,1.0156561194387457,1.0536243600107786,1.084349747962395,1.875,0.9810046118896838,1.195241789500905,0.9362349095205476,0.9681161194254444,0.9071707900906975,0.9362349095205476,0.9681161194254444,0.9071707900906975,1
17,4429,231.638,233.669,870362.0,937982.0,92.44,102.09,2012-10-01,1.0,135649.0,138019.0,102.91832669322709,99.24581673306773,106.06600398406374,100.52825099601594,103.04037848605577,101.28723505976096,0.15,0.08,16297.348999999998,16999.888,313.26,327.71,102.91832669322709,99.24581673306773,106.06600398406374,100.52825099601594,103.04037848605577,101.28723505976096,14076.0,14176.3,1188167.0,1266481.0,2611775.0,3589515.0,10.0,1440.900024,1682.410034,98.8473,101.1519,2012.0,1.1676105253503695,1.0431075630766697,1.3743584343980626,1.0087679914349115,1.0461278171486943,1.0659116100682817,1.0174715626359208,1.0071256038647343,1.0776918109935867,0.5333333333333334,1.023314749113026,1.1043920380787537,0.9643162682667183,0.9829858599895179,0.9477895576335671,0.9643162682667183,0.9829858599895179,0.9477895576335671,1
18,4677,233.669,237.447,937982.0,1029293.0,102.09,90.74,2013-10-01,1.0,138019.0,140866.0,99.24581673306773,98.91807171314741,100.52825099601594,102.62066533864541,101.28723505976096,103.74246613545817,0.08,0.09,16999.888,17735.933,327.71,344.75,99.24581673306773,98.91807171314741,100.52825099601594,102.62066533864541,101.28723505976096,103.74246613545817,14176.3,15081.4,1266481.0,1392090.0,3589515.0,4001451.0,10.0,1682.410034,1971.439941,101.1519,105.9478,2013.0,1.1717951635802002,1.043297049957035,1.1147609078106653,1.0161681695047267,1.0519971926398342,1.0991795376322266,1.0206275947514474,1.0638459964870948,1.0973483499683363,1.125,1.047412851365125,0.8888235870310509,0.996697643984312,1.0242402813567633,1.0208141922484297,0.996697643984312,1.0242402813567633,1.0208141922484297,1
19,4927,237.447,237.764,1029293.0,1121438.0,90.74,44.75,2014-10-01,1.0,140866.0,143645.0,98.91807171314741,92.07482071713146,102.62066533864541,97.85024302788844,103.74246613545817,106.31185258964143,0.09,0.13,17735.933,18287.226000000002,344.75,363.24,98.91807171314741,92.07482071713146,102.62066533864541,97.85024302788844,103.74246613545817,106.31185258964143,15081.4,15751.7,1392090.0,1519423.0,4001451.0,4060469.0,10.0,1971.439941,1919.6500239999998,105.9478,120.2147,2014.0,0.9737299037505904,1.0310833943723177,1.0147491497459296,1.0013350347656529,1.0536330674401742,1.0914689423815989,1.0197279684238922,1.044445475884202,1.08952261406616,1.4444444444444446,1.1346597097816093,0.49316729116156055,0.930819001245185,1.0247669691101073,0.9535140188867933,0.930819001245185,1.0247669691101073,0.9535140188867933,0
20,5177,237.764,241.667,1121438.0,1206574.0,44.75,48.8,2015-10-01,1.0,143645.0,146049.0,92.07482071713146,95.01325896414342,97.85024302788844,96.89023505976095,106.31185258964143,102.05974900398407,0.13,0.4,18287.226000000002,18905.545,363.24,384.21,92.07482071713146,95.01325896414342,97.85024302788844,96.89023505976095,106.31185258964143,102.05974900398407,15751.7,16035.4,1519423.0,1622098.0,4060469.0,3572132.0,10.0,1919.6500239999998,2164.330078,120.2147,121.6635,2015.0,1.1274607615664012,1.0338115250503273,0.8797338435535402,1.0164154371561716,1.0577304261645193,1.0675749939286163,1.0167357026001602,1.0180107543947636,1.0759168139478064,3.076923076923077,1.0120517707069103,1.0905027932960893,1.0319135918389601,0.9600034851986798,0.9901890078305287,1.0319135918389601,0.9600034851986798,0.9901890078305287,1
21,5428,241.667,246.583,1206574.0,1237649.0,48.8,50.59,2016-10-03,3.0,146049.0,148203.0,95.01325896414342,101.38258800000001,96.89023505976095,104.66662000000001,102.05974900398407,103.19997199999999,0.4,1.16,18905.545,19754.102,384.21,408.93,95.01325896414342,101.38258800000001,96.89023505976095,104.66662000000001,102.05974900398407,103.19997199999999,16035.4,16600.2,1622098.0,1665474.0,3572132.0,3829910.0,10.0,2164.330078,2521.199951,121.6635,119.5755,2016.0,1.1648869904953565,1.0448840274110056,1.0721636266520946,1.0203420409075297,1.0643398141641291,1.0267406778135477,1.0147484748269417,1.035222071167542,1.0257547402811598,2.8999999999999995,0.9828379094798358,1.0366803278688526,1.0670362126854347,1.011172112484535,1.0802597386149664,1.0670362126854347,1.011172112484535,1.0802597386149664,1
